t,tf0,ts0
520392.6,871.3986,805.02106
522870.66,871.13776,847.02124
525348.75,871.37683,861.9657
527826.75,871.7084,866.5869
530304.8,871.81836,869.88995
532782.9,872.11414,870.7602
535260.94,872.0841,871.6293
537739.0,872.1804,871.7878
540217.06,872.136,872.0689
542695.1,872.5781,872.1916
545173.2,872.34265,872.2538
547651.25,872.4637,871.8479
550129.3,872.2981,871.7058
552607.4,872.3072,871.96216
555085.44,871.84375,871.8916
557563.5,871.68695,872.0842
560041.56,871.3745,871.7136
562519.6,871.4461,871.66284
564997.7,869.28156,870.7697
567475.75,864.7674,867.95374
569953.8,856.0192,861.67035
572431.9,842.47076,851.93665
574909.94,824.0407,837.2085
577388.0,800.67487,817.7068
579866.06,773.469,793.55145
582344.1,744.2751,766.1026
584822.2,741.9611,745.15076
587300.25,742.62164,741.738
589778.25,741.6385,741.1094
592256.3,740.93787,739.87006
594734.4,740.24713,739.6488
597212.44,739.79156,738.38025
599690.5,739.4098,738.3178
602168.56,739.146,737.70636
